City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Andros,GR,2022-07-25 19:01:53,37.8333,24.9333,82.72,43,2,8.01
67,Labrea,BR,2022-07-25 19:01:54,-7.2586,-64.7981,97.12,24,4,4.03
68,Santa Cruz,BO,2022-07-25 18:59:53,-17.8,-63.1667,87.85,55,40,18.41
69,Dunedin,NZ,2022-07-25 19:00:34,-45.8742,170.5036,46.35,93,100,18.88
70,Muli,MV,2022-07-25 19:01:54,2.9167,73.5667,82.22,73,97,12.1
71,Ekibastuz,KZ,2022-07-25 19:01:55,51.6667,75.3667,72.45,42,3,6.89
72,Nieuw Amsterdam,SR,2022-07-25 19:01:55,5.8833,-55.0833,84.22,79,40,9.22
73,Luanda,AO,2022-07-25 18:57:41,-8.8368,13.2343,69.04,96,25,12.97
74,Albany,US,2022-07-25 19:00:21,42.6001,-73.9662,84.16,70,21,1.01
75,Buta,CD,2022-07-25 19:01:56,2.7858,24.73,73.26,88,93,1.01
76,Hasaki,JP,2022-07-25 19:01:56,35.7333,140.8333,79.29,94,49,14.25
77,Merauke,ID,2022-07-25 19:01:56,-8.4667,140.3333,74.88,87,45,13.62
78,Seoul,KR,2022-07-25 19:00:38,37.5683,126.9778,74.64,83,0,1.61
79,Altoona,US,2022-07-25 19:01:57,40.5187,-78.3947,85.3,55,82,4.0
80,Fuerte Olimpo,PY,2022-07-25 19:01:58,-21.0415,-57.8738,97.77,18,1,8.66
81,Xinzhou,CN,2022-07-25 19:01:58,38.4092,112.7333,64.08,94,0,1.07
82,Guthrie,US,2022-07-25 18:58:14,35.8789,-97.4253,105.55,18,91,11.41
83,Yaroslavskaya,RU,2022-07-25 19:01:59,44.6106,40.4642,65.17,82,44,5.35
84,Coquimbo,CL,2022-07-25 19:01:59,-29.9533,-71.3436,56.64,75,99,3.96
85,Pasan,IN,2022-07-25 19:01:59,22.85,82.2,74.8,92,100,2.98
86,Mar Del Plata,AR,2022-07-25 18:57:08,-38.0023,-57.5575,55.09,92,100,14.97
87,Tarakan,ID,2022-07-25 19:02:00,3.3,117.6333,80.17,80,98,5.97
88,Bonavista,CA,2022-07-25 19:02:00,48.6499,-53.1147,69.64,73,99,14.38
89,Ralivka,UA,2022-07-25 19:02:00,49.5005,23.2406,69.89,61,0,1.52
90,Alofi,NU,2022-07-25 19:02:01,-19.0595,-169.9187,74.05,62,60,18.1
91,Caravelas,BR,2022-07-25 19:02:01,-17.7125,-39.2481,74.46,73,15,6.38
92,Flagstaff,US,2022-07-25 19:02:02,35.1981,-111.6513,78.53,50,100,5.75
93,San Patricio,US,2022-07-25 19:02:02,28.017,-97.5169,99.16,41,3,16.04
94,Gualaquiza,EC,2022-07-25 19:03:03,-3.4,-78.55,73.2,78,62,2.93
95,Mangai,CD,2022-07-25 19:03:03,-4.05,19.5333,78.4,57,94,1.97
96,Margate,GB,2022-07-25 19:03:04,51.3813,1.3862,71.87,66,100,4.0
97,Paramirim,BR,2022-07-25 19:03:04,-13.4425,-42.2389,77.81,41,22,12.21
98,Bakel,SN,2022-07-25 19:03:05,14.905,-12.4568,83.43,66,85,5.7
99,Nhulunbuy,AU,2022-07-25 19:03:05,-12.2333,136.7667,68.61,94,0,4.61
100,Beyneu,KZ,2022-07-25 19:03:06,45.3167,55.2,76.71,50,17,8.21
101,Saint George,US,2022-07-25 19:03:06,37.1041,-113.5841,93.43,34,0,17.27
102,Tuatapere,NZ,2022-07-25 19:03:07,-46.1333,167.6833,44.74,93,100,12.39
103,Sayyan,YE,2022-07-25 19:03:07,15.1718,44.3244,65.93,61,100,3.71
104,Manzhouli,CN,2022-07-25 19:03:08,49.6,117.4333,61.75,98,89,6.6
105,Tual,ID,2022-07-25 19:03:08,-5.6667,132.75,79.7,82,33,20.96
106,La Romana,DO,2022-07-25 19:03:09,18.4273,-68.9728,90.27,51,49,15.7
107,Codrington,AU,2022-07-25 19:03:09,-38.2667,141.9667,49.1,75,100,23.06
108,Port Lincoln,AU,2022-07-25 19:01:33,-34.7333,135.8667,51.69,70,10,10.71
109,Kailua,US,2022-07-25 19:03:10,21.4022,-157.7394,79.65,73,27,8.99
