City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
307,Kuching,MY,75.42,moderate rain,1.55,110.3333,Hilton Kuching
312,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
317,Takab,IR,80.82,few clouds,36.4009,47.1133,نانوایی جواد
318,Kudahuvadhoo,MV,81.7,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
320,Ramgarh,IN,77.05,broken clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
323,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
325,Balancan,MX,81.09,broken clouds,17.8,-91.5333,Hotel Balam Ku
330,Gudari,IN,79.97,overcast clouds,19.35,83.7833,Hotel maa majhigouri
335,Adzope,CI,81.81,overcast clouds,6.1069,-3.8619,Hôtel AKL
339,Sola,VU,79.11,few clouds,-13.8833,167.55,Leumerus Bungalows
346,Englewood,US,76.03,scattered clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
351,San Rafael Del Sur,NI,79.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
361,Alekseyevka,RU,76.14,light rain,50.6309,38.6903,Apartment on Ploshchad Pobedy
362,Vredendal,ZA,76.24,clear sky,-31.6683,18.5012,Tharrakamma Guest House
363,Vanimo,PG,78.03,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
371,Turka,UA,77.79,scattered clouds,49.1541,23.0297,Мотель
373,Kirakira,SB,79.77,scattered clouds,-10.4544,161.9205,SanBiz Lodge
374,Ternate,ID,80.22,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
376,Banda Aceh,ID,76.8,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
377,Dicabisagan,PH,80.44,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
382,Grand-Lahou,CI,78.49,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
383,Nyuzen,JP,79.47,broken clouds,36.9333,137.5,Ribon Adult Day Care
387,Kuah,MY,78.78,moderate rain,6.3265,99.8432,Azio Hotel
388,Deogarh,IN,78.98,overcast clouds,21.5333,84.7333,Amit Henej House
389,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
400,Ugoofaaru,MV,81.97,broken clouds,5.6667,73.0,Ungoofaaru Inn
404,Dong Xoai,VN,75.6,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
407,Cavalcante,BR,81.75,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
413,Balkhash,KZ,78.58,clear sky,46.844,74.9804,Family
416,Namatanai,PG,78.87,light rain,-3.6667,152.4333,Seagulls Inn Namatani
419,Biarritz,FR,77.22,broken clouds,43.4801,-1.5556,Hôtel de l'ocean
