City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
58,Lushoto,TZ,2022-07-25 14:28:52,-4.7833,38.2833,65.03,59,42,9.35,scattered clouds
59,Atuona,PF,2022-07-25 14:28:52,-9.8,-139.0333,77.04,62,92,15.19,overcast clouds
60,Ahuimanu,US,2022-07-25 14:28:52,21.4447,-157.8378,76.71,78,40,12.66,light rain
61,Tiznit,MA,2022-07-25 14:28:53,29.5833,-9.5,105.69,11,12,16.31,few clouds
62,La Palma,US,2022-07-25 14:28:53,33.8464,-118.0467,70.77,86,100,4.61,overcast clouds
63,Oktyabrskoye,RU,2022-07-25 14:28:53,43.0645,44.7417,80.74,39,40,6.71,scattered clouds
64,Bredasdorp,ZA,2022-07-25 14:28:54,-34.5322,20.0403,63.32,51,0,10.58,clear sky
65,Mar Del Plata,AR,2022-07-25 14:28:54,-38.0023,-57.5575,54.09,92,75,12.66,light rain
66,Berlevag,NO,2022-07-25 14:28:55,70.8578,29.0864,58.8,76,20,13.8,few clouds
67,Garbolovo,RU,2022-07-25 14:28:55,60.3413,30.4955,74.17,66,84,3.18,broken clouds
68,Nisia Floresta,BR,2022-07-25 14:28:55,-6.0911,-35.2086,84.58,62,53,16.02,broken clouds
69,Tutoia,BR,2022-07-25 14:28:56,-2.7619,-42.2744,87.4,55,99,4.25,overcast clouds
70,Torbay,CA,2022-07-25 14:28:56,47.6666,-52.7314,83.75,58,75,18.41,broken clouds
71,Willmar,US,2022-07-25 14:28:56,45.1219,-95.0433,66.38,72,0,4.61,clear sky
72,Forestville,US,2022-07-25 14:28:57,38.8451,-76.875,87.15,72,0,16.11,clear sky
73,Taucha,DE,2022-07-25 14:28:57,51.3833,12.4833,98.1,27,0,13.8,clear sky
74,Butaritari,KI,2022-07-25 14:28:58,3.0707,172.7902,81.07,79,100,16.02,light rain
75,Yellowknife,CA,2022-07-25 14:28:58,62.456,-114.3525,61.32,77,75,16.11,broken clouds
76,Bilma,NE,2022-07-25 14:28:58,18.6853,12.9164,107.08,8,0,20.18,clear sky
77,Qaanaaq,GL,2022-07-25 14:28:59,77.484,-69.3632,40.98,76,1,2.77,clear sky
78,San Rafael,AR,2022-07-25 14:28:59,-34.6177,-68.3301,50.95,87,100,6.17,overcast clouds
79,Katsuura,JP,2022-07-25 14:29:00,35.1333,140.3,79.39,93,84,15.21,broken clouds
80,Balsas,BR,2022-07-25 14:26:09,-7.5325,-46.0356,89.62,32,100,10.2,overcast clouds
81,Boueni,YT,2022-07-25 14:29:00,-12.9025,45.0761,78.78,71,0,12.06,clear sky
82,Savannah Bight,HN,2022-07-25 14:29:01,16.45,-85.85,81.41,77,17,9.86,few clouds
83,Faanui,PF,2022-07-25 14:29:01,-16.4833,-151.75,75.81,83,95,7.67,light rain
84,Shasta Lake,US,2022-07-25 14:29:02,40.6804,-122.3708,69.96,51,0,3.56,clear sky
85,Corrente,BR,2022-07-25 14:29:02,-3.7367,-43.3394,89.42,46,33,5.5,scattered clouds
86,Cherskiy,RU,2022-07-25 14:29:02,68.75,161.3,42.55,73,1,9.46,clear sky
87,Tuktoyaktuk,CA,2022-07-25 14:29:03,69.4541,-133.0374,42.8,87,75,9.22,broken clouds
88,Biloela,AU,2022-07-25 14:29:03,-24.4167,150.5,55.29,93,0,2.8,clear sky
89,Castro,BR,2022-07-25 14:30:04,-24.7911,-50.0119,72.77,46,100,3.44,overcast clouds
90,Ancud,CL,2022-07-25 14:30:04,-41.8697,-73.8203,44.22,91,100,13.22,overcast clouds
91,Ardabil,IR,2022-07-25 14:30:05,38.2498,48.2933,58.55,94,100,19.57,fog
92,East London,ZA,2022-07-25 14:27:28,-33.0153,27.9116,61.74,63,0,9.22,clear sky
93,Ler,SS,2022-07-25 14:30:05,8.3018,30.1418,88.47,54,41,3.56,scattered clouds
94,Ambon,ID,2022-07-25 14:30:06,-3.6954,128.1814,79.23,14,40,4.61,scattered clouds
95,Verkh-Usugli,RU,2022-07-25 14:30:06,52.7,115.1667,57.49,96,46,1.7,scattered clouds
96,San Patricio,US,2022-07-25 14:30:07,28.017,-97.5169,87.67,55,0,7.85,clear sky
97,Xining,CN,2022-07-25 14:30:07,36.6167,101.7667,64.45,50,0,0.85,clear sky
98,Esperance,AU,2022-07-25 14:30:08,-33.8667,121.9,52.16,64,0,13.73,clear sky
99,Chililabombwe,ZM,2022-07-25 14:30:09,-12.3648,27.8229,76.19,27,14,6.31,few clouds
100,Valle De Allende,MX,2022-07-25 14:30:09,26.9333,-105.4,74.77,48,29,4.25,scattered clouds
101,Natitingou,BJ,2022-07-25 14:30:10,10.3042,1.3796,80.64,66,93,6.11,overcast clouds
102,Usinsk,RU,2022-07-25 14:30:10,65.9939,57.5281,53.85,70,96,21.59,overcast clouds
103,Breytovo,RU,2022-07-25 14:30:11,58.2993,37.8617,71.55,75,48,8.68,scattered clouds
104,Port Elizabeth,ZA,2022-07-25 14:30:11,-33.918,25.5701,63.1,66,0,14.97,clear sky
105,Clyde River,CA,2022-07-25 14:30:12,70.4692,-68.5914,48.43,87,75,10.36,broken clouds
106,Praia Da Vitoria,PT,2022-07-25 14:29:26,38.7333,-27.0667,79.05,83,75,3.94,broken clouds
107,Shimoda,JP,2022-07-25 14:30:13,34.6667,138.95,78.1,93,100,7.11,overcast clouds
108,Udachnyy,RU,2022-07-25 14:30:13,66.4167,112.4,71.46,77,41,3.2,scattered clouds
109,Luganville,VU,2022-07-25 14:30:14,-15.5333,167.1667,76.71,87,1,1.23,clear sky
110,Caravelas,BR,2022-07-25 14:30:14,-17.7125,-39.2481,78.22,58,71,9.19,broken clouds
111,Munkebo,DK,2022-07-25 14:30:15,55.4618,10.5558,74.84,62,99,17.25,moderate rain
112,Nueva Armenia,HN,2022-07-25 14:30:15,15.7956,-86.4985,84.38,62,42,1.83,scattered clouds
113,San Jeronimo,PE,2022-07-25 14:30:15,-11.9472,-75.2829,53.11,63,95,1.57,overcast clouds
114,Carnarvon,AU,2022-07-25 14:30:16,-24.8667,113.6333,64.69,36,0,11.39,clear sky
115,Aksu,CN,2022-07-25 14:30:16,41.1231,80.2644,90.55,20,20,12.5,few clouds
116,Yaring,TH,2022-07-25 14:30:17,6.8662,101.3689,79.93,82,98,5.53,overcast clouds
117,Erenhot,CN,2022-07-25 14:30:17,43.6475,111.9767,72.54,56,89,20.65,overcast clouds
118,Mahibadhoo,MV,2022-07-25 14:30:17,3.7833,72.9667,81.21,76,100,11.54,overcast clouds
119,Ponta Grossa,BR,2022-07-25 14:30:18,-25.095,-50.1619,72.61,48,99,2.13,overcast clouds
120,Asau,RO,2022-07-25 14:30:18,46.4333,26.4,87.96,43,33,7.23,scattered clouds
121,Carutapera,BR,2022-07-25 14:30:19,-1.195,-46.02,84.49,69,93,6.93,overcast clouds
122,Tilichiki,RU,2022-07-25 14:30:19,60.4667,166.1,47.3,86,36,4.29,scattered clouds
123,Kapaa,US,2022-07-25 14:30:20,22.0752,-159.319,77.32,82,75,14.97,broken clouds
124,Gulabpura,IN,2022-07-25 14:30:20,25.9,74.6667,77.79,91,100,8.81,overcast clouds
125,Saskylakh,RU,2022-07-25 14:30:21,71.9167,114.0833,69.64,56,97,6.31,overcast clouds
126,Omboue,GA,2022-07-25 14:30:21,-1.5746,9.2618,74.64,75,97,10.45,overcast clouds
127,Ponta Do Sol,PT,2022-07-25 14:30:22,32.6667,-17.1,87.12,42,45,5.28,scattered clouds
128,Lianran,CN,2022-07-25 14:30:22,24.9227,102.485,70.34,86,94,3.51,overcast clouds
129,Port Blair,IN,2022-07-25 14:29:35,11.6667,92.75,82.11,83,78,6.8,broken clouds
130,San Joaquin,US,2022-07-25 14:30:22,37.9333,-121.3011,63.1,81,0,6.91,clear sky
131,Jamestown,US,2022-07-25 14:27:08,42.097,-79.2353,72.01,79,0,9.22,clear sky
132,Laguna,US,2022-07-25 14:30:23,38.421,-121.4238,70.02,81,0,5.75,clear sky
133,Upernavik,GL,2022-07-25 14:30:24,72.7868,-56.1549,39.58,89,99,11.18,overcast clouds
134,Amazar,RU,2022-07-25 14:30:24,53.858,120.875,66.88,74,52,3.33,broken clouds
135,Tarakan,ID,2022-07-25 14:31:24,3.3,117.6333,81.57,79,99,6.93,overcast clouds
136,Visnes,NO,2022-07-25 14:31:25,59.3556,5.2242,60.82,94,100,13.8,light intensity drizzle
137,Port Hedland,AU,2022-07-25 14:31:25,-20.3167,118.5667,62.65,51,0,8.05,clear sky
138,Bathsheba,BB,2022-07-25 14:31:26,13.2167,-59.5167,86.61,85,20,12.66,few clouds
139,Avarua,CK,2022-07-25 14:31:26,-21.2078,-159.775,62.65,88,40,2.3,scattered clouds
140,Cape Town,ZA,2022-07-25 14:31:26,-33.9258,18.4232,70.27,39,0,6.91,clear sky
141,Argostolion,GR,2022-07-25 14:31:27,38.1811,20.489,86.07,74,0,11.5,clear sky
142,Kungurtug,RU,2022-07-25 14:29:45,50.5994,97.5228,49.91,81,14,3.96,few clouds
143,Sitka,US,2022-07-25 14:31:27,57.0531,-135.33,55.29,94,100,0.0,light intensity drizzle
144,San Agustin,MX,2022-07-25 14:31:28,20.5333,-103.4667,65.52,77,100,0.0,haze
145,Kidal,ML,2022-07-25 14:31:28,18.4411,1.4078,105.93,15,2,6.96,clear sky
146,Broken Hill,AU,2022-07-25 14:31:29,-31.95,141.4333,47.3,68,0,18.05,clear sky
147,Fukue,JP,2022-07-25 14:31:29,32.6881,128.8419,76.93,79,0,0.45,clear sky
148,Howard Springs,AU,2022-07-25 14:31:30,-12.497,131.047,71.51,95,2,2.64,clear sky
149,Zlobin,HR,2022-07-25 14:31:30,45.2924,14.6541,88.68,28,20,6.91,few clouds
150,Camacupa,AO,2022-07-25 14:31:31,-12.0167,17.4833,82.54,15,2,2.48,clear sky
151,Lubango,AO,2022-07-25 14:31:31,-14.9172,13.4925,76.3,22,57,4.27,broken clouds
152,Rosarito,MX,2022-07-25 14:31:31,32.3333,-117.0333,69.48,79,52,4.41,broken clouds
153,Springfield,US,2022-07-25 14:29:46,37.2153,-93.2982,79.92,78,0,7.0,clear sky
154,Norman Wells,CA,2022-07-25 14:31:32,65.282,-126.8329,57.24,77,20,2.3,few clouds
155,Mende,FR,2022-07-25 14:31:32,44.6667,3.5,78.62,32,73,10.22,broken clouds
156,Milagro,ES,2022-07-25 14:31:33,42.2386,-1.764,88.47,27,0,23.38,clear sky
157,Pytalovo,RU,2022-07-25 14:31:33,57.0679,27.9138,70.38,67,95,4.27,overcast clouds
158,Iqaluit,CA,2022-07-25 14:29:47,63.7506,-68.5145,42.53,93,75,6.91,mist
159,San Cristobal,VE,2022-07-25 14:31:34,7.7669,-72.225,73.58,50,81,6.82,broken clouds
160,Beringovskiy,RU,2022-07-25 14:31:35,63.05,179.3167,44.92,75,100,7.05,overcast clouds
161,Hovd,MN,2022-07-25 14:31:35,48.0056,91.6419,58.39,58,74,2.95,broken clouds
162,Ningbo,CN,2022-07-25 14:30:03,29.8782,121.5495,80.58,78,40,6.71,thunderstorm with light rain
163,Husavik,IS,2022-07-25 14:27:12,66.0449,-17.3389,54.01,70,27,9.31,scattered clouds
